model,item_id,paper_group_id,metadata_condition,pdf_condition,model_editorial_priority,reference_editorial_priority,priority_match,model_confidence,rationale_metadata_leakage,high_model_recognition_flag,model_technical_soundness,reference_technical_soundness,technical_soundness_abs_error,model_evidence_support,reference_evidence_support,evidence_support_abs_error,model_novelty,reference_novelty,novelty_abs_error,model_significance,reference_significance,significance_abs_error,model_clarity,reference_clarity,clarity_abs_error,model_overall_merit,reference_overall_merit,overall_merit_abs_error,mean_abs_score_error
gpt-5.5,BLINQ_QHW_004_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QHW_004,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,high,False,0.82,False,False,4,4.67,0.6699999999999999,3,4.67,1.67,3,3.67,0.6699999999999999,3,4.0,1.0,4,4.67,0.6699999999999999,3,4.33,1.33,1.0016666666666667
gpt-5.5,BLINQ_QIT_005_BLINDED,BLINQ_QIT_005,blinded,redacted_pdf,high,high,True,0.78,False,False,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,5,5.0,0.0,4,4.67,0.6699999999999999,4,4.0,0.0,4,4.33,0.33000000000000007,0.27666666666666667
gpt-5.5,BLINQ_QIT_005_REAL_METADATA,BLINQ_QIT_005,real_metadata,original_pdf,high,high,True,0.82,True,False,4,4.33,0.33000000000000007,3,4.33,1.33,4,5.0,1.0,4,4.67,0.6699999999999999,4,4.0,0.0,4,4.33,0.33000000000000007,0.61
gpt-5.5,BLINQ_QIT_005_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QIT_005,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,high,high,True,0.78,True,False,4,4.33,0.33000000000000007,3,4.33,1.33,4,5.0,1.0,4,4.67,0.6699999999999999,4,4.0,0.0,4,4.33,0.33000000000000007,0.61
gpt-5.4,BLINQ_QEC_001_BLINDED,BLINQ_QEC_001,blinded,redacted_pdf,low,low,True,0.94,False,True,2,2.67,0.6699999999999999,2,2.33,0.33000000000000007,1,1.67,0.6699999999999999,2,2.33,0.33000000000000007,3,3.33,0.33000000000000007,2,2.0,0.0,0.38833333333333336
gpt-5.4,BLINQ_QEC_001_REAL_METADATA,BLINQ_QEC_001,real_metadata,original_pdf,low,low,True,0.91,False,True,2,2.67,0.6699999999999999,2,2.33,0.33000000000000007,1,1.67,0.6699999999999999,2,2.33,0.33000000000000007,2,3.33,1.33,2,2.0,0.0,0.555
gpt-5.4,BLINQ_QEC_001_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QEC_001,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,low,low,True,0.88,False,True,2,2.67,0.6699999999999999,2,2.33,0.33000000000000007,1,1.67,0.6699999999999999,2,2.33,0.33000000000000007,2,3.33,1.33,2,2.0,0.0,0.555
gpt-5.4,BLINQ_QALG_002_BLINDED,BLINQ_QALG_002,blinded,redacted_pdf,medium,medium,True,0.74,False,True,3,4.0,1.0,3,4.0,1.0,4,4.0,0.0,4,3.33,0.6699999999999999,3,4.33,1.33,3,3.67,0.6699999999999999,0.7783333333333333
gpt-5.4,BLINQ_QALG_002_REAL_METADATA,BLINQ_QALG_002,real_metadata,original_pdf,medium,medium,True,0.83,True,True,4,4.0,0.0,4,4.0,0.0,4,4.0,0.0,4,3.33,0.6699999999999999,4,4.33,0.33000000000000007,4,3.67,0.33000000000000007,0.22166666666666668
gpt-5.4,BLINQ_QALG_002_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QALG_002,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,medium,True,0.75,True,True,3,4.0,1.0,3,4.0,1.0,4,4.0,0.0,3,3.33,0.33000000000000007,3,4.33,1.33,3,3.67,0.6699999999999999,0.7216666666666667
gpt-5.4,BLINQ_QCOMM_003_BLINDED,BLINQ_QCOMM_003,blinded,redacted_pdf,medium,high,False,0.79,False,False,4,4.33,0.33000000000000007,3,4.33,1.33,3,3.67,0.6699999999999999,4,3.67,0.33000000000000007,4,4.33,0.33000000000000007,4,4.0,0.0,0.49833333333333335
gpt-5.4,BLINQ_QCOMM_003_REAL_METADATA,BLINQ_QCOMM_003,real_metadata,original_pdf,medium,high,False,0.78,False,False,4,4.33,0.33000000000000007,3,4.33,1.33,3,3.67,0.6699999999999999,4,3.67,0.33000000000000007,4,4.33,0.33000000000000007,4,4.0,0.0,0.49833333333333335
gpt-5.4,BLINQ_QCOMM_003_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QCOMM_003,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,high,False,0.75,True,False,3,4.33,1.33,3,4.33,1.33,3,3.67,0.6699999999999999,3,3.67,0.6699999999999999,4,4.33,0.33000000000000007,3,4.0,1.0,0.8883333333333333
gpt-5.4,BLINQ_QHW_004_BLINDED,BLINQ_QHW_004,blinded,redacted_pdf,medium,high,False,0.82,True,True,4,4.67,0.6699999999999999,4,4.67,0.6699999999999999,3,3.67,0.6699999999999999,3,4.0,1.0,4,4.67,0.6699999999999999,4,4.33,0.33000000000000007,0.6683333333333333
gpt-5.4,BLINQ_QHW_004_REAL_METADATA,BLINQ_QHW_004,real_metadata,original_pdf,medium,high,False,0.83,False,True,4,4.67,0.6699999999999999,4,4.67,0.6699999999999999,3,3.67,0.6699999999999999,3,4.0,1.0,4,4.67,0.6699999999999999,4,4.33,0.33000000000000007,0.6683333333333333
gpt-5.4,BLINQ_QHW_004_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QHW_004,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,high,False,0.83,False,True,4,4.67,0.6699999999999999,4,4.67,0.6699999999999999,3,3.67,0.6699999999999999,3,4.0,1.0,4,4.67,0.6699999999999999,4,4.33,0.33000000000000007,0.6683333333333333
gpt-5.4,BLINQ_QIT_005_BLINDED,BLINQ_QIT_005,blinded,redacted_pdf,medium,high,False,0.79,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,4,5.0,1.0,4,4.67,0.6699999999999999,3,4.0,1.0,4,4.33,0.33000000000000007,0.61
gpt-5.4,BLINQ_QIT_005_REAL_METADATA,BLINQ_QIT_005,real_metadata,original_pdf,medium,high,False,0.8,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,4,5.0,1.0,4,4.67,0.6699999999999999,3,4.0,1.0,4,4.33,0.33000000000000007,0.61
gpt-5.4,BLINQ_QIT_005_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QIT_005,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,high,False,0.71,False,True,3,4.33,1.33,3,4.33,1.33,4,5.0,1.0,4,4.67,0.6699999999999999,3,4.0,1.0,3,4.33,1.33,1.11
gpt-5.4-mini,BLINQ_QEC_001_BLINDED,BLINQ_QEC_001,blinded,redacted_pdf,low,low,True,0.95,False,False,2,2.67,0.6699999999999999,2,2.33,0.33000000000000007,1,1.67,0.6699999999999999,2,2.33,0.33000000000000007,2,3.33,1.33,2,2.0,0.0,0.555
gpt-5.4-mini,BLINQ_QEC_001_REAL_METADATA,BLINQ_QEC_001,real_metadata,original_pdf,low,low,True,0.98,False,False,2,2.67,0.6699999999999999,2,2.33,0.33000000000000007,1,1.67,0.6699999999999999,3,2.33,0.6699999999999999,3,3.33,0.33000000000000007,2,2.0,0.0,0.445
gpt-5.4-mini,BLINQ_QEC_001_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QEC_001,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,low,low,True,0.96,False,False,2,2.67,0.6699999999999999,2,2.33,0.33000000000000007,1,1.67,0.6699999999999999,2,2.33,0.33000000000000007,2,3.33,1.33,2,2.0,0.0,0.555
gpt-5.4-mini,BLINQ_QALG_002_BLINDED,BLINQ_QALG_002,blinded,redacted_pdf,medium,medium,True,0.82,False,True,3,4.0,1.0,2,4.0,2.0,3,4.0,1.0,3,3.33,0.33000000000000007,3,4.33,1.33,3,3.67,0.6699999999999999,1.055
gpt-5.4-mini,BLINQ_QALG_002_REAL_METADATA,BLINQ_QALG_002,real_metadata,original_pdf,medium,medium,True,0.92,False,True,3,4.0,1.0,2,4.0,2.0,4,4.0,0.0,3,3.33,0.33000000000000007,3,4.33,1.33,3,3.67,0.6699999999999999,0.8883333333333333
gpt-5.4-mini,BLINQ_QALG_002_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QALG_002,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,medium,True,0.86,False,True,3,4.0,1.0,2,4.0,2.0,4,4.0,0.0,3,3.33,0.33000000000000007,3,4.33,1.33,3,3.67,0.6699999999999999,0.8883333333333333
gpt-5.4-mini,BLINQ_QCOMM_003_BLINDED,BLINQ_QCOMM_003,blinded,redacted_pdf,medium,high,False,0.78,False,True,3,4.33,1.33,3,4.33,1.33,3,3.67,0.6699999999999999,3,3.67,0.6699999999999999,3,4.33,1.33,3,4.0,1.0,1.055
gpt-5.4-mini,BLINQ_QCOMM_003_REAL_METADATA,BLINQ_QCOMM_003,real_metadata,original_pdf,medium,high,False,0.9,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,3,3.67,0.6699999999999999,4,3.67,0.33000000000000007,3,4.33,1.33,4,4.0,0.0,0.49833333333333335
gpt-5.4-mini,BLINQ_QCOMM_003_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QCOMM_003,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,high,False,0.86,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,3,3.67,0.6699999999999999,3,3.67,0.6699999999999999,3,4.33,1.33,3,4.0,1.0,0.7216666666666667
gpt-5.4-mini,BLINQ_QHW_004_BLINDED,BLINQ_QHW_004,blinded,redacted_pdf,medium,high,False,0.94,False,True,4,4.67,0.6699999999999999,4,4.67,0.6699999999999999,3,3.67,0.6699999999999999,4,4.0,0.0,4,4.67,0.6699999999999999,4,4.33,0.33000000000000007,0.5016666666666666
gpt-5.4-mini,BLINQ_QHW_004_REAL_METADATA,BLINQ_QHW_004,real_metadata,original_pdf,medium,high,False,0.92,False,True,4,4.67,0.6699999999999999,4,4.67,0.6699999999999999,3,3.67,0.6699999999999999,4,4.0,0.0,4,4.67,0.6699999999999999,4,4.33,0.33000000000000007,0.5016666666666666
gpt-5.4-mini,BLINQ_QHW_004_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QHW_004,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,medium,high,False,0.93,False,True,4,4.67,0.6699999999999999,4,4.67,0.6699999999999999,3,3.67,0.6699999999999999,4,4.0,0.0,4,4.67,0.6699999999999999,4,4.33,0.33000000000000007,0.5016666666666666
gpt-5.4-mini,BLINQ_QIT_005_BLINDED,BLINQ_QIT_005,blinded,redacted_pdf,medium,high,False,0.86,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,4,5.0,1.0,4,4.67,0.6699999999999999,4,4.0,0.0,4,4.33,0.33000000000000007,0.44333333333333336
gpt-5.4-mini,BLINQ_QIT_005_REAL_METADATA,BLINQ_QIT_005,real_metadata,original_pdf,medium,high,False,0.88,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,4,5.0,1.0,4,4.67,0.6699999999999999,3,4.0,1.0,4,4.33,0.33000000000000007,0.61
gpt-5.4-mini,BLINQ_QIT_005_COUNTERFACTUAL_HIGH_PRESTIGE,BLINQ_QIT_005,counterfactual_high_prestige,redacted_pdf_plus_synthetic_metadata,high,high,True,0.93,False,True,4,4.33,0.33000000000000007,4,4.33,0.33000000000000007,5,5.0,0.0,5,4.67,0.33000000000000007,4,4.0,0.0,5,4.33,0.6699999999999999,0.27666666666666667
